파츠번호,굿즈연결,출시일,최근입하일,최근입하수량
PT0988,,,2024-12-31,500
PT1318,,,2025-04-21,5000
PT1319,,,,0
PT1414,,,,0
PT2227,,,2024-06-17,1000
PT2236,,,2026-02-11,1100
PT2300,,,,0
PT2429,,,,0
PT3239,,,,0
PT3240,,,,0
PT3232,,,,0
PT3389,,,2024-12-24,10000
PT4723,,,2026-01-26,400
PT4724,,,,0
PT4725,,,,0
PT4707,,,,0
PT5317,,,,0
PT1664,,,,0
PT1650,,,,0
PT1212,,,,0
PT1221,,,,0
PT1213,,,,0
PT2474,,,,0
PT1211,,,,0
PT1202,,,,0
PT1200,,,,0
PT1199,,,,0
PT1204,,,,0
PT4263,,,,0
PT1220,,,,0
PT1205,,,,0
PT4796,,,,0
PT0804,,,,0
PT0806,,,,0
PT0797,,,,0
PT0789,,,,0
PT0805,,,,0
PT0814,,,2026-05-08,157
PT0808,,,,0
PT0807,,,,0
PT5103,,,,0
PT4262,,,,0
PT4680,,,,0
PT3149,,,,0
PT4681,,,,0
PT4679,,,,0
PT0714,,,,0
PT1164,,,,0
PT1163,,,,0
PT1162,,,,0
PT0713,,,,0
PT3442,,,,0
PT3007,,,,0
PT4900,,,,0
PT4901,,,,0
PT1682,,,,0
PT1685,,,,0
PT1684,,,,0
PT1203,,,,0
PT4657,,,,0
PT4332,,,,0
PT2803,,,2024-11-04,5000
PT3267,,,,0
PT3086,,,,0
PT3268,,,,0
PT1024,,,,0
PT3446,,,,0
#N/A,,,2025-01-21,1500
PT2804,,,2024-09-23,10000
PT2182,,,2024-04-26,1000
PT2370,,,2024-11-04,112
PT0503,,,2024-02-14,500
PT2371,,,2024-11-13,54
PT1433,,,2024-08-08,70
PT2395,,,2024-08-08,280
PT3766,,,2025-03-10,1000
PT0709,,,2024-04-08,5000
PT0711,,,2024-04-08,2000
PT0710,,,2024-04-08,2000
PT3332,,,2024-08-05,3000
PT3771,,,2025-04-09,1000
PT1085,,,2024-07-08,400
PT2738,,,2024-03-11,1000
PT3340,,,2024-07-17,155
PT3283,,,2025-04-21,6000
PT1792,,,2024-08-05,2000
PT3361,,,2024-04-09,200
PT2733,,,2024-04-16,500
PT0606,,,2025-01-31,3000
PT2375,,,2025-09-19,14800
PT1850,,,2025-11-27,2000
PT1851,,,2025-11-27,2000
PT3135,,,2024-05-13,3000
PT0848,,,2024-10-15,5400
PT2820,,,2024-11-21,1000
PT3362,,,2025-02-03,111
PT3364,,,2025-03-12,7000
PT3358,,,2025-05-09,1000
PT0847,,,2024-10-15,5790
PT2611,,,2024-11-14,60
PT3374,,,2024-05-13,1000
PT3357,,,2024-11-25,1000
PT4015,,,2024-05-20,500
PT4012,,,2024-05-20,100
PT3962,,,2024-06-05,300
PT0602,,,2024-11-28,5000
PT3990,,,2024-06-21,300
PT0601,,,2025-01-22,2000
PT4075,,,2024-07-15,210
PT2999,,,2024-07-31,704
PT1114,,,2024-07-17,503
PT3371,,,2024-12-09,3000
PT3386,,,2024-12-09,1500
PT3388,,,2024-08-09,3000
PT3390,,,2024-07-19,12000
PT1446,,,2024-07-23,500
PT3167,,,2024-07-24,3000
PT2821,,,2024-07-29,1000
PT1444,,,2024-08-28,500
PT1445,,,2024-08-28,500
PT1324,,,2025-01-02,6000
PT1399,,,2024-12-23,4000
PT0853,,,2024-12-23,2000
PT3292,,,2024-09-24,2000
PT1443,,,2024-10-02,1000
PT2234,,,2024-10-17,2000
PT1400,,,2024-11-04,4000
PT3397,,,2024-11-05,300
PT4283,,,2025-09-26,1500
PT4456,,,2024-11-14,205
PT4457,,,2025-01-02,350
PT4396,,,2025-03-25,2000
PT0754,,,2025-09-05,3000
PT4611,,,2025-01-06,3500
PT2850,,,2025-01-15,5000
PT4398,,,2025-03-19,1000
PT3336,,,2025-02-05,1000
PT4770,,,2025-09-24,1500
PT4605,,,2025-07-18,500
PT1799,,,2026-06-08,1020
