idx_issue,등록일자,상태,구분,작성자명,작성자명(form DB),프로젝트명,관련제품,이슈내용,발생원인,개선방안
992,2025.10.28,등록,,한봄이,한봄이,PNA35821-더작은재단,홀리데이 네임택,"택배로 배송된 건인데 제품 수령시 박스가 젖은 상태로 구멍나 있었고, 택배 상자 전체에서 생선 비린내가 남

상자를 열었을때 제품 일부도 젖은 상태로 생선 비린내가 나서 도저히 사용할 수 없는 상태",택배 배송 과정에서 함께 적재된 상자의 영향으로 고객 제품이 훼손된 것으로 추측됨,
991,2025.10.21,등록,,송지영,송지영,PNA35874-LSELECTRIC,메시지 캐리어 파우치,"메시지 캐리어 파우치 200개 제작 중 100개는 lselectric 로고, 100개는 ls전선 로고를 넣어서 제작되어야 했으나 200개 전량 lselectric로고로 제작됨 
",큐레이터와 고객 이 부분 모두 놓침 ,
989,2025.9.29,등록,,현동원,현동원,PNA36076-몽그라미,베이직 도킹형 보조배터리,cto8 발주 건이나 리뉴얼 된 ctoc로 출고됨 ,,
988,2025.9.25,등록,,송지영,송지영,PNA35277-아크리얼,시그니처 다이어리,샘플 제작 이후 시안을 변경했는데 변경 전 시안으로 본 제작 진행됨,협력사.. 실수..? ,
987,2025.9.25,등록,,황휘민,황휘민,PNA35760,브랜드팝 클리어 키링,키링의 고리를 D링으로 제작요청하였는데 군번줄로 제작되어 입고되었습니다.,확인 필요함.,
986,2025.9.18,등록,,채효경,채효경,PNA35731-현대고등학교,킵세이프 마그넷 배터리,"3개까지 열어보셨고 그 중 2개 정도가 인쇄 시안이 왼쪽으로 치우쳐서 인쇄되었습니다. 
2-3mm 오차 발생 가능성 설명 드렸는데, 고객이 강력하게 요구하시기도 하고, 재제작 응대를 해드릴 정도일지 판단 어려워 채널에 올립니다. 
제작수량 100개였고, 회수하여 치우친 제품 재제작 해드리는 것이 가능할지 의견 부탁 드립니다. 
사용하셔야 하는 일정은 9/24(수)입니다. ",,
985,2025.9.15,등록,,한봄이,한봄이,PNA35698-엘본코퍼레이션(여권케이스),베케이션 여권케이스,"발주신청서 작성시 원래는 9/10일이나, 10/10일로 잘못 기재함",휴먼 에러(큐레이터가 출고일을 오기입함),
984,2025.9.15,등록,,현동원,현동원,PNA35725-미래과학아카데미,아이콘 케이블홀더 세트,"이전 주문 건과 동일 시안인데 상하좌우 치우침이 더 심하고 시안이 10% 정도 더 작게 인쇄되었다고 하시네요. 

고객은 재제작 등을 바라시는 건 아니고 오차범위 내 인지 아니면 생산 이슈인 건지 확인만 원하시는 상황입니다. 

첨부드리는 사진은 입하 사진이며 고객이 본 프로젝트 제작으로 받아보신 실물 사진은 확인 중에 있습니다. 
(블랙 색상 : 이전 제작 건 PNA33984-미래과학아카데미)
(화이트 색상 : 본 프로젝트 건 PNA35725-미래과학아카데미)
",,
983,2025.9.12,등록,,채효경,채효경,PNA34580-EGA(BMW바바리안모터스),올데이 텀블러,"시안의 S가 빠져서 인쇄됨 (확정시안은 정상이고, 입하검수에서 발견하지 못한 것으로 보임) ",,
982,2025.9.11,등록,,송지영,송지영,PNA35030-놀유니버스,프리미엄 스트링 후드집업,"아직 후드집업 착용 대상자들에게 배부 전이고 
저희 팀 사람들만 먼저 입어봤는데요. 

꺼내본 5개 후드집업 중에서 4개는 정상이었고 
XL 1개가 지퍼 불량으로 어떻게 해봐도 지퍼가 올라가지 않았다고 합니다. 
",,
981,2025.9.10,등록,,황휘민,황휘민,PNA34591-테크빌교육,리멤버 탁상시계,신시어리 케어로 불량 접수 주신 건입니다. 탁상시계의 디스플레이의 글자가 일부 누락되어 뜨는 불량 이슈가 있었습니다. 고객에게 무지 새 제품으로 보내드리기로 하였습니다. ,,
980,2025.9.10,등록,,현동원,현동원,PNA35438-엑스포럼,심볼 아크릴 트로피,"트로피와 받침대의 결합이 너무 헐겁거나 너무 타이트해서 결합이 안되는 문제가 있다고 합니다.

현재까지 개별배송된 262 건 중 3건 접수되었습니다. ",,
979,2025.9.2,등록,,지윤미,지윤미,PNA35039-LG전자,스펙트럼 컬러펜,"백색 베다가 보여지게 인쇄됨
일부 배포된 상황이라 회수는 어려운 상황이셔서 150개 재제작하여 전달드리는 방향으로 고객과 논의하였습니다.",,
978,2025.9.1,등록,,한봄이,한봄이,PNA34968-에이블런,유니크 디퓨저,"디퓨저 슬리브-매뉴얼-라벨스티커 색상이 다 달라 불만인 상황입니다. 

그나마 라벨스티커 색상이 가장 브랜드 컬러와 비슷해 매뉴얼과 슬리브 추가제작을 고려하고 계시고, 추가제작시 비용이 얼마나 나올지 확인 요청주셨습니다.

컬러값이 RGB->CMYK로 변환되면서 색상 달라질 수 있는점, 색상 값이 같아도 옵션 별로 색상 차이 발생할 수 있는 점은 발주전에 미리 안내드렸습니다.","지류 인쇄의 경우 재질, 코팅여부, 건조방식에 따라 같은 값으로 인쇄되어도 색상차이 발생할 수 있음",
977,2025.8.20,등록,,지윤미,지윤미,PNA34185-이든앤앨리스마케팅,레더라벨 캠핑체어,"체어라벨 인쇄가 우측으로 심하게 쏠려있다는 컴플레인
수작업이라 2~3mm 정도는 오차 발생되는 점 안내드렸으나 실물로 봤을 때 더 심한 상황이라고 합니다. 
2박스 정도 검수해보셨는데 반 정도는 인쇄가 쏠려있으며, 고객께서는 전량 회수하여 저희 쪽에서 검수 후 재 제작을 원하시는 상태입니다. 

1. 첨부된 사진 정도의 경우 이슈 범위 내에 해당 될지요?
2. 만약 회수하여 재 제작 시 개선이 가능한가요? (어려울 경우 할인 제안 필요)",,
976,2025.8.20,등록,,지윤미,지윤미,PNA34129-웰컴어소씨에이츠,컴퍼니 워터,레디백 앞면 우측에 부착되는 알루미늄 원형 스티커가 너무 쉽게 떨어짐,박스 열어서 확인해보셨는데 6개 중 3~4개는 원형 스티커가 떨어져서 왔다고 합니다. 전량 회수 후 접착력 강한 양면 테이프로 재 작업이 가능할까요?,
975,2025.8.20,등록,,현동원,현동원,PNA34539-삼성전자MX사업부,칠링패드 냉각선풍기,"팬 작동 중에 에어컨 모드 버튼을 눌러도 에어컨 모드가 작동하지 않음, LED 점등되지 않음.

엔드유저분이 연락주셔서 무지 제품으로 교환해 드리기로 했습니다. ",,
974,2025.8.20,등록,,채효경,채효경,PNA35149-진정한교회,브랜드 스트랩 단우산,"스트랩 인쇄만 한 건인데, 스트랩에 인쇄가 잘 안된 부분이 다수 있습니다. 
100개 제작으로 50개씩 2박스 받아보셨는데, 1박스에서 열어 맨 윗줄만 확인해보신 상황이며, 그 중 대부분이 첨부와 같은 인쇄 오류가 있다고 합니다. 

회수하여 스트랩 재인쇄 및 재임가공하여 출고 가능할지 확인 부탁 드립니다. 
고객은 배포 일정이 있어 9/1(월) 이전에는 받아보셔야 합니다. ",,
973,2025.8.19,등록,,현동원,현동원,PNA33429-써모피셔사이언티픽(추가제작),페이퍼 샤쉐,"페이퍼샤쉐의 택과 웹사이트의 설명이 서로 다름 (사진 첨부)
택에는 미개봉 멤브레인 오픈 방법이 적혀져 있어 수령한 형태가 미개봉 상태인 것으로 오해한 상황
아래 프로젝트 3건으로 제작한 샤쉐 1500개를 전국 내부 영업팀 및 각종 행사에 모두 사용하였는데 사용방법 문의 및 불량이 아니냐는 컴플레인이 내부적으로 계속 보고됨 (임원에게도 컴플레인이 있었음)

브랜드 가치가 오히려 낮아진 상황으로 보상 요구

기존 은교님 건이며 대표번호로 문의가 있었습니다.
PNA33429-써모피셔사이언티픽(추가제작)
PNA33171-써모피셔사이언티픽솔루션스
PNA32369-써모피셔사이언티픽솔루션스",예전에 멤브레인이 한번 바뀌었던 것 같은데 그때 템플릿 관련해서 F/U가 누락된 것으로 추정,
972,2025.8.8,등록,,현동원,현동원,PNA33984-미래과학아카데미,"아이콘 케이블홀더 세트,월드와이드 멀티어댑터","1. 아이콘 케이블홀더 세트는 단품으로 따로 전달되어야 했으나 키트 내 인입되어 출고됨
2. 멀티어댑터는 시안 일부가 인쇄 누락됨",,
971,2025.8.8,등록,,한봄이,한봄이,PNA34852-삼성전자,해피웨이 런치백,기존고객 재주문 요청건에 대한 발주가 누락됨 - 해피웨이 런치백 100개,담당 큐레이터가 제작 진행 자체를 누락함ㅠ,
970,2025.8.6,등록,,채효경,채효경,PNA34255-디윅스,핸디링 미니 선풍기,"엔드유저로부터 핸디링 미니 선풍기 작동이 안된다는 이슈가 리포팅되었습니다. 
충전 자체도 되지 않고, 아예 작동이 되지 않는다고 하네요.
무지제품 교환해드리면 좋을 것 같아 확인 부탁 드리겠습니다. ",,
969,2025.8.5,등록,,송지영,송지영,PNA34076-일레븐코퍼레이션,Quality 슬리브 박스,퀄리티 슬리브 그라데이션 부분이 시안이랑 너무 다르게 나옴. 재제작 희망하며 일정은 1-2주 가량 여유 있음 ,,
968,2025.8.5,등록,,송지영,송지영,PNA34636-엑스페릭스,매트블랙 텀블러,"하단 실크 인쇄가 찌그러지게 인쇄되어 있음 

고객이 현재 1개 뜯어본 상황이고 남은 50개도 그런지 확인 요청하셨습니다. 
회수해서 검수 재진행 해야할 것 같고 전량 인쇄가 잘못 되어 있다면 재제작 진행해야 할 것 같습니다. 

고객 일정 1-2주 가량 여유 있는 것으로 확인했습니다. ",모름 ,
967,2025.8.5,등록,,채효경,채효경,PNA34554-비오커머스,슈가케인 텀블러,"인쇄없이 주문하신 건인데 텀블러(바디&리드)와 스트로우의 색상 차이가 다소 심해 문의 주셨습니다. 

공정마다 색감 차이 불가피하게 발생하는 점은 설명 드렸는데, 고객이 주신 사진 보니 차이가 좀 큰 것 같긴 합니다.

고객은 시간이 지남에 따라 색상이 변하는 현상도 있는지 문의주셨습니다. 확인 및 답변 부탁 드려도 될까요? ",,
966,2025.7.25,등록,,한봄이,한봄이,PNA34597-(주)지컴,임팩트 슬로건타월,시안에 비해 실물 색상이 물빠진 느낌으로 연하게 제작됨,"큐레이터가 판단하기에 패브릭 특성상 어쩔수 없는 부분이라 인쇄 자체에는 문제가 없는 것 같습니다.

일정상 고객이 샘플 인쇄를 제외하고 본제작 진행하신 상황이라 지금같은 상황에서 색상으로 인한 교환, 환불 어려운점 리마인드 드렸고, 시안처럼 제작하시려면 색상 값을 조정해서 다시 제작하셔야 한다고 1차 응대한 상황입니다.",
965,2025.7.17,등록,,현동원,현동원,PNA27020-KLT,썸네일 캘린더,"작년에 제작한 썸네일 캘린더의 내지가 좌우로 말림
2023년~2025년 3년 연속 캘린더를 신시어리에서 제작하였는데,
2024년 제작 건 관련해서 이전에 한 차례 고객인지이슈가 있었음
2025년 제작 건도 말림이 있어서 2026년 제작 건 의뢰와 같이 문의 주신 상황

이전 이슈 건으로 말림 현상에 대해서는 고객사에 안내 되어
제품에 대한 직접적인 재제작을 요구하신 것은 아니나 
지류 변경이나 코팅 등 동일 이슈 재발 방지를 위한 방안을 문의하신 상황

저희 캘린더류 웹사이트와 템플릿에 말림 현상 안내 추가해 두는 것이 어떨까요? 

(참고)
2023년 캘린더 제작 건 - PNA12646-KLT
2024년 캘린더 제작 건 - PNA19379
2025년 캘린더 제작 건 - PNA27020-KLT",,
963,2025.7.11,등록,,송지영,송지영,PNA33483-프리비알,트래블 2in1 목베개,트래블 2in1 목베개 발주 확정 파일대로 제작 진행되지 않고 이전 파일로 제작된 것 같음 (사진 아래 참고) ,,
962,2025.7.9,등록,,한봄이,한봄이,PNA33871-삼성물산,베케이션 여권케이스,여권케이스 커버가 최종 시안 대비 너무 연하게 인쇄된 것 같음,협력사에 확인필요,
961,2025.7.8,등록,,한봄이,한봄이,PNA34054-한국정보통신기술협회,칠링패드 냉각선풍기,"충전 후 팬 전원을 눌러도 날개가 작동하지 않음
엔드유저라서 1개 무지 제품 보내드리면 될 것 같습니다. ",,
960,2025.7.2,등록,,채효경,채효경,PNA33620-유디임팩트,리틀빅 리유저블컵,"스탠다드 단품박스가 택배배송으로 인해 파손이 된 상태로 고객 전달 되었습니다. 
여유수량 3개 전달되었는데, 그보다도 많은 수량인 총 9개에 파손이 있어 박스패키지 및 스티커 추가전달이 가능할지 확인 부탁 드립니다. 
박스는 재고라 바로 전달 가능할 것 같은데, 스티커는 고객시안 인쇄된 스티커 여분수량이 남아있을지 확인 부탁 드릴게요. 
여유있게 10개 정도 보내드리면 좋을 것 같습니다. ",택배배송 중 움직임으로 인해 파손 ,
959,2025.6.30,등록,,한봄이,한봄이,PNA33636-신도리코,리멤버 탁상시계,"출고된 탁상시계 70개 중 총 4개가 불량으로 확인되어 사진과 영상 보내주셨습니다.
- 스탠드 접촉 불량 2개
- 디스플레이 문구 잘림 1개
- 셋팅 오류+(현재)아예 안켜짐 1개",제품 불량,
958,2025.6.13,등록,,지윤미,지윤미,PNA33221-몬스터파크,레디고 런치박스,뚜껑 이음새 부분이 벌어져있음,"300개 중 5개 정도 불량 발견되었으며, 택배 배송 과정 중 충격으로 발생된 이슈는 아닌 것 같습니다. (외박스 손상x) 결착되는 뚜껑 이음새 부분 내구성이 약한 것 같음",
957,2025.6.13,등록,,송지영,송지영,PNA33767-(주)하라커뮤니케이션즈,브랜디드 피규어,"브랜디드 피규어 팔이 누라된 것들이 있다고 합니다. 
고객이 현재 누락된 건 수량 파악중에 있어요. 

당장 월요일에 사용하셔야 한다고 하셔서, 고객이 수량 파악하시면 회수해서 팔 추가해서 다시 전달드려야 할 것 같습니다. ",,
956,2025.6.12,등록,,한봄이,한봄이,PNA33747-한국스미더스오아시스,애드온 뱃지,시안 자체는 모든 문구의 굵기가 동일한데 실제 제작은 'N' 문구만 볼드처리된 것처럼 굵게 제작됨,확인필요,
955,2025.5.30,등록,,송지영,송지영,PNA33223-온에스테틱,미스트 워터보틀,빨간색으로 제작 요청했는데 실제 제작물은 주황색으로 나옴 ,,
954,2025.5.26,등록,,현동원,현동원,PNA33405-국립중앙의료원(샘플),올데이 텀블러,"1. 텀블러 뚜껑의 돌아가는 고정핀이 파손되어 있음
2. 뚜껑을 돌리면 투명 부분에서 플라스틱 가루가 나옴",,
953,2025.5.16,등록,,한봄이,한봄이,PNA33091-SK플래닛,브랜드팝 클리어 키링,시안 4종으로 제작되는 건인데 키링-배경지간 매칭이 고객의 의도와 다르게 임가공됨,"고객-CX담당자간 커뮤니케이션 오류
고객은 PPT 파일 기준으로 요청하셨고, CX담당자는 고객이 전달한 참고용 이미지 기준으로 매칭을 진행했는데 알고보니 둘이 다른 구성이었음",
952,2025.5.16,등록,,이은교,이은교,PNA31496-주식회사팬딩,클립 아트펜,고객이 최초 희망하신 시안과 다르게 제작된 이슈. 내용은 스레드에 정리하겠습니다.,,
951,2025.5.15,등록,,한봄이,한봄이,PNA32752-CJENM,웜업 스트링 후드집업,M사이즈가 S사이즈로 잘못 제작되어 출고됨 (수량 5개),CX담당자가 견적서 및 오더시트에 M사이즈를 S사이즈로 잘못 표기함;(,
950,2025.5.14,등록,,이은교,이은교,PNA33165-관세청(샘플),포시즌 블랭킷,"포시즌블랭킷 사이즈만 다르게 2종(무릎담요, 일반담요) 제작한 건입니다. 

2종 모두 양면인쇄 시안이나, 단면에만 인쇄되어 고객 출고되었습니다.",확인필요,
949,2025.5.13,등록,,채효경,채효경,PNA32394-DB하이텍,"프라우드 투톤 명함지갑,로지텍 페블 블루투스 마우스","명함지갑 박스스티커와 마우스 박스스티커를 동일한 cmyk값 (c100 m30 y100 k0)으로 제작하였는데, 스티커 색상차이가 크게 발생하여 컴플레인 주셨습니다. 

주문수량 200개 + 여분수량 1개로 총 201개 받아보셨고 그 중 3개 키트 먼저 열어보셨는데, 1개는 색상이 비슷하고 2개는 색상 차이가 있습니다. 
명함지갑 스티커가 2번에 나뉘어 제작된 것으로 보이는데 발주 시 문제상황이 있었을지 확인 필요할 것 같습니다. 

고객에게 사용하셔야하는 일정 먼저 문의해둔 상황이고, 점심시간과 겹쳐 아직 답변 받지 못했습니다. 
일정 여유있다면 회수 후 색상차이 있는 수량을 파악하여 팔로업 필요할 것 같습니다. ",,
948,2025.5.13,등록,,"채효경,이은교","채효경, 이은교",PNA31428-울산과학대학교,킵세이프 마그넷 배터리,"은교님 담당 건이나 오늘 휴가셔서 대신 업로드합니다. 
[PNA31428-울산과학대학교] 엔드유저께서 연락주셨고, 배터리를 하루종일 충전해도 5개 LED 칸 중에 3개까지만 충전이된다고 합니다. 
MD팀에 구두로 문의한 결과, 불이 들어오는 것이라면 고속충전 어댑터의 문제일 가능성보다는 제품 자체의 결함일 것 같다고 말씀주시네요. 
무지제품으로 교환해드리면 좋을 것 같은데 해당 제품 남은 샘플이 있을지 (2/14 출고됨), 없다면 교환해드릴 무지제품 있을지 확인 부탁 드립니다. ",제품 자체 결함 ,
947,2025.5.8,등록,,이은교,이은교,PNA33050-팀42,칠링패드 냉각선풍기,"칠링패드선풍기 불량이 발생하여 리포팅합니다. (동영상첨부)

고객께 전달된 여유수량 1개 내에서 일단 대체 가능하여 추가조치 필요치 않으나, 추가로 불량 발견될 시 무지제품 발송드리기로 했습니다. 

[불량증상]
- 왼쪽버튼 누르면 작동안함, 왼쪽 버튼 누른 후 오른쪽 버튼을 누르면 팬이 돌아감
- 바람 세기 변경 작동이 안되고 계속 1단으로만 작동됨",,
946,2025.5.8,등록,,현동원,현동원,PNA32381-이노소셜랩,브랜드 스트랩 단우산,"키트 내 구성품 일부(단우산)가 누락됨
엔드유저 1명에게 확인",,
945,2025.4.28,등록,,송지영,송지영,PNA32604-대덕전자,젠틀 차량용 청소기,"레이저 인쇄 색상이 홈페이지와 샘플 받아본 것과 너무 상이함. 
레이저 인쇄 색상이 마음에 들어서 주문했던 것인데, 받아본 상품으로는 VIP용 선물로 사용하기 어렵다고 내부적으로 판단함",LOT가 달라서 발생한 문제일까요.. ,
944,2025.4.28,등록,,현동원,현동원,PNA32737-스페셜라이즈드코리아,미니멀 스텐머그,"효경님 건이며 대체담당 중에 있어 업로드 합니다.
고객인지내용 아래와 같습니다. 
1. 로고의 거친 텍스쳐 느낌이 구현되지 않음
2. 기울기 및 위치 오차가 사전안내된 것보다 초과하여 발생",,
943,2025.4.22,등록,,지윤미,지윤미,PNA31702-여수히든베이호텔,아이콘 펜,부착된 아이콘이 쉽게 떨어짐,"슬라이드지퍼백 키트포장을(노트패드, 브랜드잇, 아이콘펜) 고객께서 직접 진행하셨는데 지퍼백에 넣는 과정에서 아이콘이 너무 쉽게 떨어졌다고 하시네요. 
공유 차 사진 전달 주셨고 이후에 재주문할 가능성이 높아서 해당 부분 개선 가능할지 문의주셨습니다. ",기존 샘플의 경우 확인해보니 접착력이 강한 편인데 해당 건 진행 시 특이사항이 있었을지 협력사 통해 확인해보면 좋을 것 같네요.
941,2025.4.21,등록,,지윤미,지윤미,PNA32272-에이치아이여성의원,굿스타트 슈즈백,지퍼를 닫았을 때 기준으로 상단에 손잡이가 부착되어 있어야하나 하단에 부착됨,제작불량,
940,2025.4.21,등록,,현동원,현동원,PNA32210-호라이즌,클리어 리유저블컵,"빨대가 없는 건이나 MBS 스티커에 빨대 내용이 있어서 소비자가 빨대 인입된 것으로 오해할 수 있어 고객사에서 보완 요청 
",,MBS 스티커도 빨대 내용 유무로 템플릿이 나뉘어 관리되면 좋을 것 같습니다. 
936,2025.3.31,등록,,채효경,채효경,PNA30655-강릉아산병원,"Solid 스탠다드 G형 박스,스펙트럼 컬러펜","올해 1월 출고된 건인데 수시로 배포하는 상황이라 아래 이슈가 다소 늦게 확인되었습니다. 
g형박스 내부 웰컴페이퍼와 펜이 1개씩 누락되어 있는 키트가 발견되었고, 9개 키트는 웰컴페이퍼가 구겨져 있었다고 합니다. 
내부 구성품이 많지 않아 웰컴페이퍼를 올리고 g형박스 덮개를 덮는 과정에서 웰컴페이퍼가 이동되어 찝혔을 것으로 예상됩니다. 

- 총 제작 수량 : 225개 
- 배포되지 않은 잔여 수량 : 146개
- 구겨진 웰컴페이퍼 수량 : 9개
- 웰컴페이퍼 누락 수량 : 1개
- 볼펜 누락 수량 : 1개

셰르파 내 고객께 전달된 여분수량이 확인되지 않은데, 아래 내용 확인해주실 수 있으실까요? 
4월 중 배포일정이 있다고 하십니다. 
1) 여분수량이 함께 전달되었을지
2) 현재 에이원 등에 보유하고 있는 해당 프로젝트 잔여 수량이 있을지 
3) 웰컴페이퍼 총 10개, 펜 1개 추가 전달 희망하시는데 전달 가능할지 ",,
935,2025.3.28,등록,,송지영,송지영,PNA32135-법무법인홉스앤킴,슈가케인 펜,"펜 슬리브의 인쇄 색상이 법인 브랜드 컬러와 차이가 있다고 컴플레인 주신 상황 
(전달 받은 메일 스레드 이미지로 첨부)  

슬리브 컬러는 고객이 작업해 준 것 그대로 제작 진행한 건 


","지류와 인쇄 방식 특성 상 발생하는 문제 (친환경 지류, 콩기름 인쇄)이나 해당 주의 사항이 시안 템플릿에만 안내되어 있고, 들어간 사진이 작아서 고객이 지나치기 쉬움 

큐레이터도 이렇게 진한 슬리브 색상은 진행해 본 적이 없어서 해당 부분을 고객에게 사전에 안내드리지 못함 
",
934,2025.3.28,등록,,송지영,송지영, PNA32146-부산창조경제혁신센터,헬로 카드형 USB,"헬류 카드형 USB 배경지에 16GB가 아닌 4GB로 인쇄됨 
","디퀘 당시에 4GB였으나 디퀘 이후 (체크파이널 전) 16GB로 고객이 옵션 변경 요청. 

큐레이터가 견적서 옵션만 바꿨고 시안에 해당 부분이 적혀 있었는지 인지하지 못해서 팔로업을 못함 
",
933,2025.3.27,등록,,탁유림,탁유림,PNA31151-지란지교시큐리티,홈카페 코스터,"- 코스터를 머그지지박스에 부착 희망하셨으나
체크파이널 > 발주신청 단계에서 임가공 특이사항에 기재 누락됨

- 트럭 퀵하차 서비스 포함하였으나, 기사님이 대량물품이라 못옮기고 거기까진 얘기되지 않으셨다고 하시며 지하주차장에 내려주시고 감","- 큐레이터 휴먼에러
체크파이널 특이사항에는 작성하였으나 임가공 특이사항에 기재 누락함

- 퀵 기사님 실수
하차서비스 포함된 견적이나, 하차서비스 이루어지지 않음",
932,2025.3.17,등록,,탁유림,탁유림, PNA24380-프리비알(경동나비엔),스타일 수면안대,"한승윤님 담당 건

- opp 제외 요청하지 않았으나 opp가 제외되어 출고됨
- 9개월 전 출고건이나 에이전시에서 지금 확인 후 연락주심
- 거의 배포 완료된 상황이라, 재발주시 opp 포장비 할인해드리기로 협의","협력사 임가공이라 요청이 있지 않는한 opp 제외하지 않는데, 
9개월 전 건이라 정확한 원인 파악이 어려운 것으로 확인",
931,2025.3.4,등록,,지윤미,지윤미,PNA30447-래어달메디컬코리아,베이직 도킹형 보조배터리,C to 8 원하셨으나 8 to C로 제작 됨,큐레이터 실수로 견적서 옵션 지정이 잘못되어 C to 8 아닌 8 to C로 제작됨,
930,2025.2.26,등록,,현동원,현동원,PNA31319-디알비동일,Quality 슬리브 박스,"주문수량 100개 + 여유수량 1개 총 101개 중 4개의 슬리브 훼손이 있음
임가공 또는 배송 과정에서 발생한 것으로 추정 ",,
929,2025.2.24,등록,,송지영,송지영,PNA30930-법무법인홉스앤킴,Carry me 와인잔,"Carryme와인잔 로고 부분(실크 인쇄 부분)에 갈라짐 발견, 고객이 10개 다 뜯어서 확인해 보셨는데 10개다 같은 문제가 있다고 하시네요) ",,
928,2025.2.19,등록,,탁유림,탁유림,PNA31357-미래과학아카데미,컬러풀 노트패드,견적에는 OPP포함이었으나 포장되지 않은 벌크상태로 출고됨,,
926,2025.2.17,등록,,이은교,이은교,PNA31574-스틸케이스(더체어),컬러풀 노트패드(블랙),"출고된 컬러풀노트패드 170개 중 2개에서 사진과 같은 찍힘현상 발생했습니다.

전달된 여유수량(1개)보다 불량수량이 더 많아, 재제작 요청주셨는데 가능할 지 확인 부탁드립니다.

1. 2개 추가제작 가능여부 확인 부탁드립니다.
2. 2/25까지 고객수령 희망하십니다. 가능여부 확인 요청드려요.


",,
925,2025.2.13,등록,,지윤미,지윤미,PNA30322-리틀엔젤스예술단,플레인 USB,usb 인식불량,플레인 usb 100개 발주 진행하셨고 배포된 80개 중 7개가 인식이 안된다고 합니다. 미사용분 20개도 확인하여 총 불량 갯수 말씀해주시기로 하셨습니다.,
924,2025.2.3,등록,,송지영,송지영,PNA29694-임팩트비즈니스재단,스타트 씨드키트,"개별배송된 건 중에서 씨앗이 누락된 건이 1개 있다고 합니다. 2개 여유 수량으로 나갔는데 이미 사용하셨다고 하셔서 대체가 불가합니다. 

씨앗(베이비 브로콜리)만 아래 주소로 보내드리면 좋을 것 같습니다. 가능할지 확인 부탁드립니다. 

손인혁 010-7182-6459 서울특별시 강서구 양천로69길 58 (염창동, 염창동아아파트) 101동1310호

",,
923,2025.1.23,등록,,채효경,채효경,PNA28670-린나이코리아,시그니처 다이어리,"시그니처 다이어리 커버가 분리되는 현상이 있습니다. 
총 1,000개 커스텀 제작 건이고 키트 내 포함되어 수령지 11곳으로 분할출고 되었습니다.
이미 사용하시는 분들이 다수라서 회수가 어렵고, 보관 중인 수량은 100개 내외라고 합니다. 
분할출고되어 사용하시는 분들의 클레임이 들어왔고, 보관 중인 수량 살펴보니 전량 모두 그렇다고 하시네요. 
가지고계신 대여샘플이 있어 비교해보니 본드칠의 정도가 확연히 차이난다고 합니다. (풀이 덜 발라졌다고 말씀주셨습니다) 

11/29 출고되었고 이미 배포가 거의 된 상황이라 원인 확인 및 대응이 필요할 것 같습니다. 
고객께서도 회수는 어려울 것 같다고 하셔서 재제작을 적극적으로 말씀 드리지는 않았습니다. 
할인하는 방법도 우선 유선상 꺼내지는 않았고, 지점 11곳으로 나간 건이라 많이 난감해하시고 계십니다.. ",,
922,2025.1.22,등록,,탁유림,탁유림,PNA30016-(주)레디두(세미나),셀렉티브 전동오프너&와인잔 세트,아래 첨부드린 사진처럼 패키지가 찢어지거나 웰컴페이퍼가 구겨져 있는 것들이 다수 발견됨 혹시 여분이 있는지 확인 부탁드립니다.,,
920,2025.1.16,등록,,지윤미,지윤미,PNA30246-삼성바이오로직스,리멤버 탁상시계,"버튼을 누르는 순간만 글자가 떴다가 바로 사라져서 설정조차 어려운 상황이라고 말씀주셔서 배터리 교체 해보시는걸 권장드렸고, 배터리를 교체해도 동일한 이슈가 계속되는 상황",,
919,2025.1.15,등록,,현동원,현동원,PNA21692-싸이티바,"커피 드립백 | BEAN BROTHERS,핸디 파우더솝","키트 185개 신시어리 풀필먼트로 장기보관 중에 커피드립백, 핸디파우더솝 유통기한이 지난 것이 확인됨

- 115개 수량은 작년 2월, 70개는 작년 6월까지 보관으로 보관비를 사전정산 하였으나 이후 해당 시점에서 리마인드 누락됨, 고객도 누락하신듯 
- 유통기한은 드립백만 사전안내 되었음
- 고객인지 전 내부에서 먼저 확인한 상황 ",,
918,2025.1.7,등록,,이은교,이은교,PNA29411-주식회사와이엔비컴퍼니,시그니처 다이어리,"다이어리 300개 판매용으로 제작하신 건이며, 현재까지 5건 불량 클레임 접수되었습니다. 사진은 스레드에 첨부합니다.

1. 내지 접착 불량사례
2. 내지에 낙서  

",이전 시그니처 다이어리 이슈들과 동일한 사안으로 추정,
917,2025.1.7,등록,,한봄이,한봄이,PNA28792-(주)아이디브릿지(한국석유공업),내추럴 노트,"1. 내추럴 노트 전면 텍스트가 육안으로 보기에도 우측으로 기울어짐
2. 내추럴 노트 책등, 후면 백박이 1차 샘플과 달리 많이 뭉쳐 인쇄됨",확인필요,
916,2025.1.6,등록,,이은교,이은교,PNA28910-에이엠씨알,시그니처 다이어리,"내지 갈라짐 이슈 발생. (스레드 사진참고)

300개 제작 후 배포하였는데 현재까지 2개 불량이 확인되어 제보주셨습니다. 고객께서 대응방안 확인 요청주셨습니다. 
",다른 시그니처 이슈건들과 동일한 이유로 추정,
